# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,
# Thu Jun 13 15:30:11 2019,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# CONSTRAINT:  where (koi_disposition like 'CAN%'),,,,,,,,,,,,,,
# CONSTRAINT:  order by koi_disposition asc,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,
# COLUMN kepoi_name:     KOI Name,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days],,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_teq:        Equilibrium Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
kepid,kepoi_name,koi_period,koi_period_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1
2973386,K03034.01,31.0209175,0.0001895,1.66,0.12,291,1.7,0.4,3720,73,4.764,0.054,0.48,0.033
2975770,K01788.02,369.069345,0.005928,3.07,0.11,197,0.35,0.05,4855,77,4.542,0.056,0.778,0.029
2976017,K04849.01,3.19938075,2.601E-05,0.62,0.1,1026,262.08,137.02,5483,163,4.632,0.032,0.702,0.115
2984990,K07641.01,3.79437277,5.825E-05,1.36,0.49,1383,865.53,967.11,5455,180,4.025,0.54,1.507,0.548
2985587,K02807.01,3.375716723,9.059E-06,2.34,0.72,1472,1111.66,993.91,6310,170,4.273,0.136,1.282,0.391
2986833,K04875.01,0.912179022,5.638E-06,0.65,0.04,1025,260.05,53.17,3880,69,4.722,0.023,0.555,0.033
2994092,K06301.01,50.271927,0.001128,2.94,0.88,589,28.51,24.34,6520,158,4.375,0.062,1.215,0.362
2997459,K04389.01,16.3368863,0.0001677,1.27,0.34,642,40.22,42.68,5410,334,4.49,0.094,0.859,0.235
3001955,K04961.01,348.96347,0.03016,2.04,0.18,198,0.36,0.13,4823,154,4.564,0.027,0.792,0.073
3002478,K02380.01,6.35705314,1.752E-05,1.59,0.49,990,227.07,213.35,5982,180,4.493,0.052,0.96,0.3
3097926,K02186.01,14.97974335,6.325E-05,3.79,0.41,620,34.95,14.91,5062,194,4.481,0.104,0.853,0.092
3098605,K04844.01,0.428046051,1.093E-06,0.87,0.13,2017,3877.26,1957.59,5285,159,4.566,0.049,0.775,0.121
3098810,K01878.01,40.80957343,9.427E-05,3.44,0.58,623,35.68,16.6,6183,110,4.301,0.066,1.3,0.219
3101178,K04963.01,59.4037839,0.0008493,1.65,0.44,570,24.93,19.91,6373,179,4.256,0.204,1.209,0.325
3101923,K03483.01,82.331756,0.001983,2.08,0.34,474,11.96,5.14,5997,81,4.304,0.099,1.242,0.204
3103212,K04145.01,3.25424652,3.34E-05,0.96,0.14,1220,521.81,205.64,5692,77,4.421,0.076,1.004,0.15
3103473,K04395.01,1.920062587,8.516E-06,1.12,0.16,1189,471.84,217.13,5266,158,4.611,0.036,0.741,0.103
3109550,K03225.01,4.8754765,3.976E-05,0.8,0.16,1180,458.62,297.05,5513,169,4.179,0.26,1.286,0.268
3109930,K01112.01,37.8102649,0.0002147,2.33,0.72,566,24.27,22.61,6085,182,4.451,0.081,0.973,0.302
3110177,K07644.01,3.39904814,4.614E-05,0.81,0.2,1191,477.15,358.65,5766,155,4.444,0.112,0.929,0.237
3112129,K04144.01,0.487656278,8.46E-07,0.99,0.11,2299,6647.8,2038.69,5957,71,4.506,0.024,0.937,0.109
3115833,K00797.01,10.181584004,6.188E-06,7.73,2.17,812,102.91,86.75,5988,179,4.541,0.048,0.836,0.234
3122872,K03203.01,96.81647,0.0008937,3.19,0.38,655,43.39,15.77,6404,129,3.793,0.218,2.467,0.301
3122913,K02490.01,11.60653061,6.084E-05,1.88,0.07,584,27.47,4.07,4703,74,4.582,0.049,0.701,0.027
3128552,K02055.03,2.50475282,1.144E-05,1.48,0.22,1369,828.59,336.84,5509,82,4.308,0.156,1.116,0.169
3128552,K02055.04,6.13074243,6.971E-05,1.26,0.52,916,166.78,201.11,5741,155,4.556,0.032,0.833,0.34
3129238,K07645.01,2.00870696,3.039E-05,0.55,0.08,1232,542.87,257.21,5341,143,4.526,0.099,0.759,0.115
3219037,K03395.01,10.00506974,9.309E-05,1.11,0.3,849,122.48,99.12,5912,158,4.453,0.098,0.924,0.255
3219037,K03395.02,5.0395851,0.0001184,0.78,0.3,1067,306.35,355.69,5912,164,4.453,0.082,0.924,0.362
3219643,K03072.01,24.3367026,0.0002902,1.95,0.19,526,18.07,6.49,5141,153,4.505,0.088,0.806,0.08
3223433,K04548.01,61.083322,0.001918,1.61,0.26,465,11.01,4.63,5803,78,4.444,0.042,1.015,0.163
3229028,K06100.02,117.684591,0.002107,1.52,0.82,459,10.46,16.71,6362,158,4.248,0.158,1.279,0.684
3229150,K02150.01,18.5084526,0.0001311,29.33,8.82,683,51.32,46.25,5942,176,4.506,0.039,0.938,0.282
3229150,K02150.02,44.7055876,0.0007544,72.59,21.83,509,15.83,14.27,5942,176,4.506,0.039,0.938,0.282
3230491,K01096.01,1500,0,9.8,3.48,139,0.09,0.09,5606,158,4.597,0.03,0.76,0.27
3230805,K03068.01,3.91679553,2.602E-05,0.85,0.09,851,123.73,47.1,4889,146,4.637,0.032,0.686,0.074
3230805,K03068.02,6.65171459,5.745E-05,0.84,0.09,713,61.01,23.23,4889,146,4.637,0.032,0.686,0.074
3232249,K07648.01,1.183505016,7.329E-06,0.8,0.07,1293,658.87,227.3,4832,168,4.592,0.032,0.746,0.062
3236705,K03343.01,83.2664103,0.0006749,2.89,0.43,439,8.78,3.51,5538,83,4.266,0.168,1.18,0.175
3239171,K04967.01,43.581043,0.001988,1.94,0.59,558,22.89,20.83,6225,194,4.45,0.065,1.031,0.309
3239671,K02066.01,147.97391,0.00116,3.33,0.43,329,2.78,1.03,5578,100,4.44,0.09,0.95,0.123
3240158,K01106.03,13.2298203,0.0002783,1.5,0.24,856,126.84,51.02,6049,72,4.353,0.076,1.176,0.184
3245969,K01101.02,11.39110963,7.274E-05,1.9,0.21,632,37.65,15.02,4999,154,4.587,0.029,0.76,0.086
3246867,K06315.01,5.32737192,5.674E-05,0.7,0.1,782,88.33,40.7,4905,149,4.593,0.058,0.679,0.094
3247268,K01089.02,12.21828097,1.128E-05,5.1,0.76,835,114.59,48.15,5822,105,4.351,0.115,1.081,0.162
3248501,K02052.01,4.22464216,3.146E-05,4.31,1.43,1279,631.55,615.29,6343,177,4.408,0.054,1.14,0.376
3249334,K06318.01,5.90260586,5.002E-05,1.26,0.18,759,78.58,35.35,4960,147,4.627,0.027,0.707,0.096
3324069,K06320.01,22.80265,0.002554,2.36,1.92,1045,281.59,739.39,5011,125,3.321,0.214,3.324,2.701
3328080,K03075.01,4.76559056,2.772E-05,0.92,0.28,1167,439.42,417.69,5702,189,4.258,0.253,1.125,0.347
3329204,K01095.01,51.59809554,4.631E-05,6.57,1.9,449,9.61,8.34,5681,169,4.551,0.034,0.859,0.248
3338885,K01845.02,5.05821338,4.738E-06,10.69,6.94,1168,439.8,905.81,4883,146,3.972,0.57,1.667,1.082
3340165,K04972.01,26.092284,0.000457,1.35,0.2,717,62.57,24.83,6346,76,4.362,0.035,1.214,0.187
3345675,K01772.01,120.00336404,8.032E-05,15.08,0.86,240,0.78,0.21,4315,142,4.627,0.035,0.668,0.038
3346154,K02723.01,1.952711161,2.256E-06,2.58,0.76,1403,917.15,792.53,5741,154,4.495,0.052,0.946,0.279
3346543,K06329.01,12.4701111,0.0001809,2.06,0.31,1074,313.87,128.52,5623,93,3.877,0.233,2.109,0.314
3348216,K03448.01,32.510844,0.0002498,2.62,0.44,680,50.56,22.15,6074,81,4.244,0.125,1.358,0.228
3355104,K04975.01,47.0628978,0.0002142,4.1,1.18,483,12.9,10.97,5838,157,4.529,0.037,0.897,0.26
3356156,K04976.01,624.90338,0.01789,2.77,1.9,320,2.48,5.49,7089,213,4.148,0.11,1.729,1.193
3356193,K06331.01,5.8229815,0.0001006,1.36,0.33,914,165.12,119.67,5704,169,4.575,0.04,0.804,0.192
3425363,K04977.01,25.5338535,0.0004043,1.18,0.1,410,6.66,2.2,4445,134,4.63,0.052,0.635,0.055
3425851,K00268.01,110.3783828,0.0002779,3.02,0.14,473,11.82,1.82,6342,86,4.242,0.033,1.359,0.062
3428127,K04978.01,339.18998,0.01434,2.75,1.09,253,0.96,1.2,5544,192,4.402,0.12,0.966,0.385
3440118,K03876.01,19.57783279,3.696E-05,1.96,0.27,621,35.14,13.8,5620,100,4.533,0.023,0.884,0.123
3440978,K02288.01,38.103908,0.0002255,4.08,0.51,456,10.22,4.33,5250,158,4.522,0.088,0.771,0.096
3441795,K04981.01,349.73652,0.01162,2.32,0.68,216,0.52,0.47,5310,173,4.582,0.025,0.796,0.234
3448130,K02043.01,78.5461106,0.000425,3.55,0.58,501,14.85,6.34,5808,78,4.172,0.162,1.397,0.228
3450040,K04205.01,1.166960319,3.625E-06,0.88,0.12,1596,1534.29,533.76,5632,67,4.537,0.014,0.904,0.121
3453214,K00802.01,19.620346923,3.73E-06,13.6,1.82,643,40.39,14.34,5710,76,4.492,0.048,0.905,0.121
3529290,K03340.01,8.9539656,0.0001907,0.84,0.23,923,171.51,136.28,6168,166,4.452,0.081,0.947,0.256
3529290,K03340.02,13.7281373,0.0001463,1.06,0.28,800,97.06,77.13,6168,166,4.452,0.081,0.947,0.256
3532985,K05987.01,5.288547653,2.471E-06,55.28,17.19,2333,6999.38,5534.17,4918,51,2.889,0.228,9.169,2.85
3534076,K01209.01,272.0868353,0.0008514,5.95,2.67,251,0.93,1.33,5587,208,4.548,0.047,0.791,0.355
3539231,K04626.01,91.95723,0.00568,2.66,0.42,497,14.41,5.9,5854,79,4.114,0.182,1.528,0.238
3540873,K04986.01,444.04257,0.02842,1.48,0.47,211,0.47,0.43,5776,167,4.622,0.026,0.726,0.228
3544640,K03279.01,30.8278245,0.0003158,2.42,0.68,585,27.66,23.77,5982,189,4.493,0.048,0.96,0.27
3545135,K02755.01,8.48299282,3.908E-05,0.8,0.11,879,141.04,53.99,5827,104,4.471,0.059,0.933,0.126
3545478,K00366.01,75.1122132,2.76E-05,23.23,2.46,777,86.18,28.91,6201,138,3.616,0.218,3.354,0.355
3545840,K06102.01,54.2916336,0.000827,1.67,1.06,665,46.21,88.28,6711,140,4.179,0.135,1.565,0.997
3547178,K06342.01,8.1770751,0.0001308,0.83,0.22,1115,365.09,278.5,6501,147,4.281,0.149,1.209,0.326
3547760,K04535.02,5.78901936,7.896E-05,0.78,0.17,849,122.75,87.99,5289,173,4.546,0.066,0.748,0.171
3548044,K02194.03,445.21685,0.01812,1.37,0.18,237,0.74,0.29,5670,113,4.387,0.138,0.95,0.124
3548622,K06343.01,569.45051,0.0328,1.96,0.59,225,0.61,0.56,6117,182,4.496,0.05,0.947,0.288
3548645,K04991.01,211.330867,0.007469,2.09,0.7,300,1.92,1.9,5941,172,4.519,0.036,0.911,0.303
3550372,K04357.01,0.681180633,1.655E-06,2.97,0.78,2782,14116.16,9945.02,4939,81,3.635,0.096,2.377,0.627
3553900,K04992.01,12.5747207,0.0001269,1.45,0.29,693,54.46,33.35,5654,152,4.59,0.036,0.774,0.158
3554031,K01194.02,14.8623076,0.0001304,1.57,0.12,454,10.08,2.55,4362,87,4.722,0.012,0.554,0.042
3557560,K04456.01,7.4299322,0.0001552,1.81,0.28,1024,259.7,104.28,5635,76,4.23,0.168,1.252,0.191
3558849,K04307.01,160.850075,0.003764,3.41,0.58,413,6.87,3.07,5999,80,4.168,0.162,1.507,0.258
3559860,K03440.01,33.0257179,0.0006181,2.21,0.36,564,23.95,10.11,5819,69,4.468,0.032,0.99,0.163
3559860,K03440.02,58.940569,0.001213,2.48,0.41,465,11.06,4.67,5819,69,4.468,0.032,0.99,0.163
3559935,K00492.02,265.29617,0.01548,2.99,1.16,302,1.97,2.29,5589,163,4.27,0.175,1.218,0.472
3561464,K03398.03,4.32710579,6.045E-05,3.58,0.62,2004,3805.87,1760.47,5745,86,3.499,0.259,3.955,0.688
3561464,K03398.02,35.8007112,0.0003713,7.97,1.39,991,227.68,105.32,5745,86,3.499,0.259,3.955,0.688
3629119,K08242.01,331.55459,0.01384,1.36,0.32,240,0.78,0.56,5762,155,4.576,0.04,0.801,0.193
3629967,K01901.01,85.6542476,0.0004328,3.56,0.54,522,17.51,6.89,5818,69,4.065,0.202,1.647,0.252
3634051,K06103.01,453.54212,0.003501,9.23,1.76,390,5.45,2.74,5874,87,3.664,0.375,3.006,0.572
3634051,K06103.02,122.8054416,0.0009181,118.62,22.57,602,31.11,15.64,5874,87,3.664,0.375,3.006,0.572
3641726,K00804.01,9.02930689,1.648E-05,2.57,0.44,757,77.75,43.01,5349,167,4.526,0.063,0.82,0.141
3644071,K01192.01,1295.362215,0.008463,57.82,20.68,169,0.19,0.21,5609,159,4.346,0.149,1.048,0.375
3645438,K04385.03,17.3695112,0.0004896,1.45,0.08,588,28.35,5.36,5119,82,4.508,0.06,0.834,0.047
3645438,K04385.01,7.298142,5.423E-05,1.6,0.09,786,90.04,17.03,5119,82,4.508,0.06,0.834,0.047
3646449,K04999.01,65.752109,0.001934,2,0.29,458,10.36,4.07,5816,78,4.432,0.051,1.03,0.154
3647097,K05001.01,59.9655175,0.0007848,1.92,0.86,481,12.67,17,5729,168,4.372,0.099,1.105,0.491
3648437,K01861.01,17.50441726,4.694E-05,3.56,0.53,824,108.78,42.49,5815,78,4.16,0.203,1.329,0.197
3660581,K07662.01,4.72519164,6.887E-05,3.98,0.57,2250,6060.79,2623.51,6655,160,3.49,0.376,3.831,0.542
3663173,K02750.01,174.636181,0.002022,11.12,1.48,481,12.65,4.59,5974,89,3.859,0.196,2.232,0.298
3663494,K06352.01,5.11683678,7.95E-05,1.16,0.36,1039,275.15,257.67,5955,188,4.52,0.05,0.91,0.28
3663850,K08089.01,141.400279,0.001543,41.55,1.24,945,188.78,26.1,4936,88,2.609,0.033,14.907,0.445
3733638,K06353.01,10.0714369,0.0001678,1.98,0.56,1362,814.46,715.33,5768,192,3.633,0.816,2.81,0.797
