# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 30 20:29:12 2018
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
#
loc_rowid,pl_name,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_kepflag,pl_nnotes,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_disc,hd_name,hip_name
14,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,Imaging,,,,,,,,,,,,,4.00000,1.00000,-1.00000,0,,,,,,,,,0,0,52.40,1.10,-1.10,0,20.150,0.190,0,V (Johnson),,,,,,,,0.02,,,0,,,,,4.00000,1.00000,-1.00000,0,,,,,,,,,2004,,
15,2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,Eclipse Timing Variations,416.00000000,2.00000000,-2.00000000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,,,,,,,,,1,0,,,,,12.264,,0,Kepler-band,,,,,,,,0.48,0.03,-0.03,0,,,,,1.90000,0.10000,-0.10000,0,,,,,,,,,2015,,
16,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,Imaging,7336.50000000,1934.50000000,-584.00000000,0,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,,,,,0,0,25.00,10.00,-10.00,0,,,,,,,,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,20.95000,83.79000,-20.95000,0,10.310,4.370,-4.040,0,0.090,0.040,-0.040,0,2009,,
17,2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,Imaging,,,,,,,,,,,,,12.50000,1.50000,-1.50000,0,,,,,,,,,0,1,74.00,10.00,-10.00,0,12.510,0.030,0,V (Johnson),,,,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,12.50000,1.50000,-1.50000,0,,,,,,,,,2016,,
18,30 Ari B b,30 Ari B,b,Radial Velocity,335.10001000,2.50000000,-2.50000000,0,0.290000,0.090000,-0.090000,0,,,,0,13.82000,1.80000,-1.80000,0,,,,0,,,,0,0,0,39.43,1.64,-1.79,0,,,,,6.938,,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,13.82000,1.80000,-1.80000,0,,,,0,,,,0,2009,HD 16232,HIP 12184
19,4 UMa b,4 UMa,b,Radial Velocity,269.30000000,1.96000000,-1.96000000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,,,,,,,,,0,0,77.40,4.03,-4.50,0,4.610,,0,V (Johnson),,,,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,,,,,,,,,,,,,2006,HD 73108,HIP 42527
20,42 Dra b,42 Dra,b,Radial Velocity,479.10000000,6.20000000,-6.20000000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,,,,,,,,,0,0,97.28,4.34,-4.76,0,4.820,,0,V (Johnson),,,,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,,,,,,,,,,,,,2008,HD 170693,HIP 90344
21,47 UMa b,47 UMa,b,Radial Velocity,1078.00000000,2.00000000,-2.00000000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,V (Johnson),,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,,,,,1996,HD 95128,HIP 53721
22,47 UMa c,47 UMa,c,Radial Velocity,2391.00000000,100.00000000,-87.00000000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,V (Johnson),,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,,,,,2001,HD 95128,HIP 53721
23,47 UMa d,47 UMa,d,Radial Velocity,14002.00000000,4018.00000000,-5095.00000000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,V (Johnson),,,,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,,,,,2009,HD 95128,HIP 53721
24,51 Eri b,51 Eri,b,Imaging,,,,0,,,,,,,,,2.00000,,,0,,,,,,,,,0,1,29.40,0.30,-0.30,0,5.230,,0,V (Johnson),,,,,,,,1.75,0.05,-0.05,0,,,,,2.00000,,,0,,,,,,,,,2015,HD 29391,HIP 21547
25,51 Peg b,51 Peg,b,Radial Velocity,4.23078500,0.00003600,-0.00003600,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,,,,,,,,,0,0,15.36,0.18,-0.18,0,5.500,,0,V (Johnson),,,,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,,,,,,,,,,,,,1995,HD 217014,HIP 113357
26,55 Cnc b,55 Cnc,b,Radial Velocity,14.65152000,0.00015000,-0.00015000,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,,,,,,,,,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,V (Johnson),,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0.83060,0.00330,-0.00330,0,,,,,,,,,1996,HD 75732,HIP 43587
27,55 Cnc c,55 Cnc,c,Radial Velocity,44.41750000,0.00730000,-0.00730000,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,,,,,,,,,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,V (Johnson),,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0.17140,0.00550,-0.00550,0,,,,,,,,,2004,HD 75732,HIP 43587
28,55 Cnc d,55 Cnc,d,Radial Velocity,4825.00000000,39.00000000,-39.00000000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,,,,,,,,,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,V (Johnson),,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,3.87800,0.06800,-0.06800,0,,,,,,,,,2002,HD 75732,HIP 43587
29,55 Cnc e,55 Cnc,e,Radial Velocity,0.73653900,0.00000700,-0.00000700,0,,,,,83.300,0.900,-0.800,0,0.02542,0.00098,-0.00098,0,0.170,0.007,-0.007,0,6.40000,0.80000,-0.70000,0,0,1,12.53,0.13,-0.13,0,5.960,0.010,0,V (Johnson),,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0.02542,0.00098,-0.00098,0,1.910,0.080,-0.080,0,0.018,0.001,-0.001,0,2004,HD 75732,HIP 43587
30,55 Cnc f,55 Cnc,f,Radial Velocity,262.00000000,0.51000000,-0.51000000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,,,,,,,,,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,V (Johnson),,,,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0.14100,0.01200,-0.01200,0,,,,,,,,,2007,HD 75732,HIP 43587
31,6 Lyn b,6 Lyn,b,Radial Velocity,874.77400000,16.27000000,-8.47000000,0,0.125000,,,1,,,,,2.21000,0.11000,-0.16000,0,,,,,,,,,0,0,56.95,2.36,-2.58,0,,,,,,,,4978.00,18.00,-18.00,0,1.70,0.10,-0.20,0,5.20,0.40,-0.30,0,,,,,,,,,,,,,2008,HD 45410,HIP 31039
32,61 Vir b,61 Vir,b,Radial Velocity,4.21500000,0.00060000,-0.00060000,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,V (Johnson),,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,,,,,2009,HD 115617,HIP 64924
33,61 Vir c,61 Vir,c,Radial Velocity,38.02100000,0.03400000,-0.03400000,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,V (Johnson),,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,,,,,2009,HD 115617,HIP 64924
34,61 Vir d,61 Vir,d,Radial Velocity,123.01000000,0.55000000,-0.55000000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,V (Johnson),,,,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,,,,,2009,HD 115617,HIP 64924
35,7 CMa b,7 CMa,b,Radial Velocity,796.00000000,7.40000000,-7.40000000,0,0.220000,0.070000,-0.070000,0,,,,,2.46000,0.14000,-0.14000,0,,,,,,,,,0,0,19.84,0.27,-0.28,0,3.920,,0,V (Johnson),,,,4792.00,100.00,-100.00,0,1.52,0.30,-0.30,0,2.30,0.10,-0.10,0,,,,,,,,,,,,,2011,HD 47205,HIP 31592
36,70 Vir b,70 Vir,b,Radial Velocity,116.68840000,0.00440000,-0.00440000,0,0.400000,0.000000,0.000000,0,,,,0,7.62000,0.34000,-0.34000,0,,,,0,,,,0,0,0,18.11,0.24,-0.24,0,4.980,,0,V (Johnson),4.867,,0,5531.00,11.00,-11.00,0,1.14,0.08,-0.08,0,1.84,0.03,-0.03,0,7.62000,0.34000,-0.34000,0,,,,0,,,,0,1996,HD 117176,HIP 65721
37,75 Cet b,75 Cet,b,Radial Velocity,691.90000000,3.60000000,-3.60000000,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,,,,,,,,,0,0,81.50,6.87,-8.27,0,5.350,,0,V (Johnson),,,,4846.00,18.00,-18.00,0,2.49,0.02,-0.27,0,10.50,1.00,-1.00,0,,,,,,,,,,,,,2012,HD 15779,HIP 11791
38,8 UMi b,8 UMi,b,Radial Velocity,93.40000000,4.50000000,-4.50000000,0,0.060000,0.090000,-0.090000,0,,,,0,1.31000,0.16000,-0.16000,0,,,,0,,,,0,0,0,159.10,11.00,-11.00,0,6.830,,0,V (Johnson),6.494,,0,4847.00,7.00,-7.00,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,1.31000,0.16000,-0.16000,0,,,,0,,,,0,2015,HD 133086,HIP 73136
39,81 Cet b,81 Cet,b,Radial Velocity,952.70000000,8.80000000,-8.80000000,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,,,,,,,,,0,0,97.18,8.37,-10.11,0,5.650,,0,V (Johnson),,,,4785.00,25.00,-25.00,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,,,,,,,,,,,,,2008,HD 16400,HIP 12247
40,91 Aqr b,91 Aqr,b,Radial Velocity,181.40000000,0.10000000,-0.10000000,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,,,,,,,,,0,0,45.52,1.77,-1.92,0,4.250,,0,V (Johnson),,,,4665.00,18.00,-18.00,0,1.40,0.10,-0.10,0,11.00,0.10,-0.10,0,,,,,,,,,,,,,2013,HD 219449,HIP 114855
41,AB Pic b,AB Pic,b,Imaging,,,,,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,,,,,0,0,45.52,1.64,-1.76,0,9.128,0.019,0,V (Johnson),8.776,,0,,,,,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,,,,,2005,HD 44627,HIP 30034
42,BD+03 2562 b,BD+03 2562,b,Radial Velocity,481.90000000,2.70000000,-2.80000000,0,0.200000,0.120000,-0.080000,0,,,,,6.40000,1.30000,-1.30000,0,,,,,,,,,0,0,2618.00,564.00,-564.00,0,9.580,0.010,0,V (Johnson),,,,4095.00,20.00,-20.00,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,,,,,,,,,,,,,2017,,
43,BD+14 4559 b,BD+14 4559,b,Radial Velocity,268.94000000,0.99000000,-0.99000000,0,0.290000,0.030000,-0.030000,0,,,,0,1.04000,0.47000,-0.47000,0,,,,0,,,,0,0,0,50.03,3.73,-4.38,0,9.630,0.012,0,V (Johnson),9.270,,0,4864.00,101.00,-101.00,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,1.04000,0.47000,-0.47000,0,,,,0,,,,0,2009,,HIP 104780
