# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 13 15:30:11 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like 'CAN%')
# CONSTRAINT:  order by koi_disposition asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
4936180,K00820.01,,CANDIDATE,CANDIDATE,0.0000,4.640900310,1.4850000e-05,-1.4850000e-05,173.6463800,2.610000e-03,-2.610000e-03,1.2800,0.0980,-0.0700,35.51200,0.27400,-0.27400,2.4506e+03,1.170e+01,-1.170e+01,30.09,5.790e+00,-3.140e+00,1155.0,,,421.08,257.38,-124.00,296.90,1,q1_q17_dr25_tce,6463.00,205.00,-205.00,4.500,0.087,-0.163,0.8260,0.1590,-0.0860,295.113710,40.071171,15.270
5115978,K00823.01,,CANDIDATE,CANDIDATE,,1.028436523,7.0500000e-07,-7.0500000e-07,170.2285820,5.400000e-04,-5.400000e-04,1.5734,0.2599,-0.3164,1.86060,0.03400,-0.03400,8.0980e+03,1.270e+02,-1.270e+02,72.77,2.771e+01,-8.600e+00,1947.0,,,3400.48,3879.25,-1109.02,89.60,,,6228.00,183.00,-219.00,4.428,0.077,-0.272,0.9900,0.3770,-0.1170,296.006990,40.295429,15.202
5792202,K00841.03,,CANDIDATE,CANDIDATE,1.0000,6.546261490,2.6680000e-05,-2.6680000e-05,133.8596400,3.170000e-03,-3.170000e-03,0.6440,0.2950,-0.4380,2.75000,0.11100,-0.11100,6.5590e+02,3.000e+01,-3.000e+01,2.19,2.200e-01,-8.000e-02,810.0,,,101.78,31.02,-14.45,24.80,3,q1_q17_dr25_tce,5251.00,105.00,-105.00,4.581,0.010,-0.085,0.8170,0.0800,-0.0290,292.236760,41.085880,15.855
6867155,K00868.01,,CANDIDATE,CANDIDATE,0.9980,235.998639900,2.7730000e-04,-2.7730000e-04,208.3998220,8.980000e-04,-8.980000e-04,0.7780,0.0060,-0.0080,8.22840,0.06060,-0.06060,2.0715e+04,9.170e+01,-9.170e+01,10.59,3.500e-01,-5.200e-01,188.0,,,0.29,0.05,-0.04,271.80,1,q1_q17_dr25_tce,4245.00,85.00,-85.00,4.627,0.030,-0.018,0.6570,0.0220,-0.0320,293.007970,42.307201,15.172
6526710,K00856.01,,CANDIDATE,CANDIDATE,0.9940,39.748930770,1.5540000e-05,-1.5540000e-05,172.8546440,3.010000e-04,-3.010000e-04,0.8810,0.0030,-0.0030,7.30510,0.02130,-0.02130,1.5179e+04,4.410e+01,-4.410e+01,14.21,4.460e+00,-1.490e+00,552.0,,,21.87,20.59,-6.71,561.10,1,q1_q17_dr25_tce,6122.00,181.00,-218.00,4.487,0.052,-0.208,0.9640,0.3030,-0.1010,293.179290,41.969238,15.344
6599919,K00858.01,,CANDIDATE,CANDIDATE,0.0000,13.610148190,5.9690000e-06,-5.9690000e-06,173.9873190,3.460000e-04,-3.460000e-04,1.0810,0.3470,-0.1190,2.59400,0.01940,-0.01940,5.7329e+03,3.810e+01,-3.810e+01,19.02,4.920e+00,-2.280e+00,733.0,,,68.29,52.16,-20.86,184.10,1,q1_q17_dr25_tce,5697.00,154.00,-154.00,4.460,0.098,-0.182,0.9030,0.2340,-0.1080,289.897770,42.009151,15.060
6862328,K00865.01,,CANDIDATE,CANDIDATE,1.0000,119.020704400,1.1790000e-04,-1.1790000e-04,222.2364920,7.040000e-04,-7.040000e-04,0.0760,0.1730,-0.0760,8.14050,0.03820,-0.03820,7.4305e+03,3.840e+01,-3.840e+01,8.98,1.230e+00,-1.350e+00,366.0,,,4.25,1.58,-1.34,223.50,1,q1_q17_dr25_tce,5453.00,81.00,-73.00,4.342,0.144,-0.108,1.0620,0.1460,-0.1600,291.583770,42.368160,15.085
7031517,K00871.01,,CANDIDATE,CANDIDATE,0.0000,12.940668656,3.3520000e-06,-3.3520000e-06,179.4230140,2.060000e-04,-2.060000e-04,0.8970,0.1600,-0.0720,2.48450,0.01650,-0.01650,4.2450e+04,1.980e+02,-1.980e+02,22.94,4.930e+00,-1.960e+00,723.0,,,64.64,40.22,-16.72,307.50,1,q1_q17_dr25_tce,5875.00,140.00,-175.00,4.572,0.036,-0.144,0.8090,0.1740,-0.0690,291.119690,42.507069,15.215
7135852,K00875.01,,CANDIDATE,CANDIDATE,1.0000,4.220965778,2.5840000e-06,-2.5840000e-06,170.6224330,4.910000e-04,-4.910000e-04,0.7050,0.0610,-0.3110,3.08540,0.06450,-0.06450,2.2600e+03,1.790e+01,-1.790e+01,2.62,5.800e-01,-5.800e-01,595.0,,,29.68,41.22,-16.05,157.80,1,q1_q17_dr25_tce,3837.00,481.00,-259.00,4.747,0.105,-0.094,0.5170,0.1140,-0.1140,296.693940,42.626110,15.692
7678434,K00892.02,,CANDIDATE,CANDIDATE,1.0000,3.969962980,1.3950000e-05,-1.3950000e-05,137.7544700,3.100000e-03,-3.100000e-03,0.8360,0.1010,-0.6020,1.17570,0.09700,-0.09700,2.9920e+02,2.450e+01,-2.450e+01,1.78,9.000e-02,-1.600e-01,992.0,,,229.37,41.51,-50.30,15.00,2,q1_q17_dr25_tce,5121.00,76.00,-84.00,4.457,0.091,-0.039,0.8880,0.0490,-0.0770,290.393220,43.363899,15.193
7380537,K00883.01,,CANDIDATE,CANDIDATE,0.9970,2.688899233,1.9000000e-07,-1.9000000e-07,170.1020904,5.610000e-05,-5.610000e-05,0.0010,0.0610,-0.0010,2.11275,0.00254,-0.00254,3.7492e+04,4.400e+01,-4.400e+01,12.04,1.360e+00,-7.900e-01,929.0,,,175.76,66.28,-39.88,1011.60,1,q1_q17_dr25_tce,4820.00,130.00,-144.00,4.667,0.027,-0.063,0.6390,0.0720,-0.0420,296.683070,42.967869,15.766
8013419,K00901.01,,CANDIDATE,CANDIDATE,1.0000,12.732624065,4.3970000e-06,-4.3970000e-06,176.9390540,2.730000e-04,-2.730000e-04,0.8110,0.0200,-0.0330,2.20830,0.04320,-0.04320,6.4657e+03,4.100e+01,-4.100e+01,4.87,9.700e-01,-9.600e-01,432.0,,,8.22,11.81,-4.37,210.50,1,q1_q17_dr25_tce,3950.00,560.00,-301.00,4.721,0.104,-0.085,0.5410,0.1070,-0.1070,285.167480,43.876339,15.750
8018547,K00902.01,,CANDIDATE,CANDIDATE,0.9660,83.924940320,7.9990000e-05,-7.9990000e-05,236.7633400,7.180000e-04,-7.180000e-04,0.6580,0.0310,-0.0520,6.79040,0.07480,-0.07480,7.9587e+03,5.480e+01,-5.480e+01,4.78,3.400e-01,-4.700e-01,226.0,,,0.62,0.18,-0.18,182.10,1,q1_q17_dr25_tce,3960.00,118.00,-130.00,4.746,0.045,-0.040,0.5090,0.0360,-0.0500,287.852390,43.897991,15.754
7938496,K00900.01,,CANDIDATE,CANDIDATE,1.0000,13.810203180,2.9680000e-05,-2.9680000e-05,172.3353300,1.750000e-03,-1.750000e-03,0.7910,0.0330,-0.5430,3.04800,0.06350,-0.06350,1.3097e+03,3.150e+01,-3.150e+01,4.56,1.330e+00,-8.800e-01,833.0,,,113.75,99.51,-49.06,46.20,1,q1_q17_dr25_tce,5942.00,176.00,-193.00,4.327,0.136,-0.187,1.1420,0.3330,-0.2220,281.960630,43.703110,15.425
8552202,K00914.01,,CANDIDATE,CANDIDATE,1.0000,3.886655224,7.8220000e-06,-7.8220000e-06,169.7381400,1.550000e-03,-1.550000e-03,0.6490,0.0530,-0.4760,3.16460,0.06040,-0.06040,5.8160e+02,1.390e+01,-1.390e+01,1.87,3.600e-01,-1.500e-01,1010.0,,,246.29,141.54,-59.99,48.10,1,q1_q17_dr25_tce,5662.00,153.00,-153.00,4.610,0.032,-0.120,0.7380,0.1400,-0.0600,288.726650,44.607510,15.371
9140402,K00928.01,,CANDIDATE,CANDIDATE,1.0000,2.494170338,1.2640000e-06,-1.2640000e-06,170.8528480,4.260000e-04,-4.260000e-04,0.0950,0.2390,-0.0950,1.12210,0.01750,-0.01750,8.6370e+02,1.390e+01,-1.390e+01,2.42,2.400e-01,-1.200e-01,1194.0,,,480.19,142.04,-79.60,69.20,1,q1_q17_dr25_tce,5569.00,99.00,-110.00,4.566,0.020,-0.080,0.8290,0.0820,-0.0410,284.759430,45.599129,15.251
8951215,K00924.01,,CANDIDATE,CANDIDATE,1.0000,39.475909300,1.3170000e-04,-1.3170000e-04,173.3120700,2.500000e-03,-2.500000e-03,0.9380,0.0110,-0.6470,2.96800,0.14600,-0.14600,1.0126e+03,4.280e+01,-4.280e+01,4.06,1.310e+00,-4.400e-01,577.0,,,26.13,24.80,-8.31,26.60,1,q1_q17_dr25_tce,6225.00,172.00,-237.00,4.450,0.054,-0.216,1.0310,0.3320,-0.1110,291.208040,45.244389,15.229
9347899,K00935.04,,CANDIDATE,CANDIDATE,0.9750,9.617314260,3.3500000e-05,-3.3500000e-05,142.4747900,2.840000e-03,-2.840000e-03,0.3310,0.0810,-0.3310,3.86920,0.07720,-0.07720,2.3400e+02,1.360e+01,-1.360e+01,1.94,2.900e-01,-3.800e-01,1010.0,,,246.13,105.29,-100.36,18.20,4,q1_q17_dr25_tce,6035.00,120.00,-120.00,4.220,0.168,-0.112,1.2570,0.1870,-0.2500,294.023010,45.853081,15.237
2860866,K01103.01,,CANDIDATE,CANDIDATE,1.0000,90.124050700,4.4330000e-04,-4.4330000e-04,356.2341500,3.200000e-03,-3.200000e-03,0.6980,0.0790,-0.4150,11.64900,0.28000,-0.28000,3.0203e+03,5.750e+01,-5.750e+01,7.12,2.410e+00,-8.000e-01,485.0,,,13.09,13.03,-4.26,57.90,1,q1_q17_dr25_tce,6520.00,180.00,-248.00,4.375,0.056,-0.224,1.2150,0.4100,-0.1370,293.223910,38.033581,14.960
10460629,K01168.01,,CANDIDATE,CANDIDATE,,856.672115000,9.5910000e-03,-9.5910000e-03,228.4498800,7.270000e-03,-7.270000e-03,0.1158,0.2441,-0.1157,23.14400,0.28700,-0.28700,8.5810e+02,2.770e+01,-2.770e+01,3.87,1.940e+00,-7.500e-01,242.0,,,0.81,1.22,-0.35,39.20,,,6449.00,163.00,-210.00,4.232,0.163,-0.270,1.3090,0.6560,-0.2540,287.586790,47.600021,13.997
10319385,K01169.01,,CANDIDATE,CANDIDATE,1.0000,0.689210173,4.5000000e-07,-4.5000000e-07,133.2858400,5.200000e-04,-5.200000e-04,0.1540,0.2710,-0.1540,1.61690,0.01790,-0.01790,1.9500e+02,2.400e+00,-2.400e+00,1.32,1.900e-01,-6.000e-02,1943.0,,,3362.71,1364.69,-528.86,93.40,1,q1_q17_dr25_tce,5630.00,100.00,-122.00,4.505,0.023,-0.128,0.9540,0.1380,-0.0390,281.551180,47.469959,13.248
10482160,K01170.01,,CANDIDATE,CANDIDATE,0.9650,7.343739640,1.1340000e-05,-1.1340000e-05,137.2987400,1.280000e-03,-1.280000e-03,0.1850,0.2690,-0.1850,1.17840,0.04660,-0.04660,5.7440e+02,2.180e+01,-2.180e+01,1.84,4.000e-01,-1.400e-01,839.0,,,117.50,77.15,-27.07,32.20,1,q1_q17_dr25_tce,5757.00,155.00,-155.00,4.597,0.036,-0.144,0.7620,0.1680,-0.0560,296.232150,47.678959,14.657
11502218,K00970.01,,CANDIDATE,CANDIDATE,0.0000,3.988602100,8.0340000e-06,-8.0340000e-06,171.0185200,1.590000e-03,-1.590000e-03,0.0600,0.3640,-0.0600,1.73760,0.05880,-0.05880,6.7350e+02,2.180e+01,-2.180e+01,34.39,4.710e+00,-1.099e+01,3145.0,,,23135.72,8030.46,-13457.76,37.10,1,q1_q17_dr25_tce,4813.00,50.00,-121.00,2.472,0.156,-0.117,13.6520,1.8690,-4.3610,289.093230,49.424484,6.974
11180361,K00971.01,,CANDIDATE,CANDIDATE,1.0000,0.533059312,,,171.2274419,,,1.2630,,,1.86210,,,1.4958e+03,,,133.56,2.598e+01,-7.791e+01,5862.0,,,277887.70,170694.09,-236607.72,179.60,1,q1_q17_dr25_tce,8523.00,267.00,-326.00,3.559,0.639,-0.071,4.0510,0.7880,-2.3630,286.019200,48.866741,7.748
10287723,K01174.01,,CANDIDATE,CANDIDATE,,129995.778400000,0.0000000e+00,0.0000000e+00,393.5996200,3.050000e-03,-3.050000e-03,0.7127,0.1831,-0.1239,9.40800,0.19800,-0.19800,1.4749e+03,4.680e+01,-4.680e+01,2.99,1.600e-01,-2.100e-01,25.0,,,0.00,0.00,0.00,35.70,,,4500.00,153.00,-119.00,4.572,0.042,-0.028,0.7260,0.0390,-0.0520,296.821620,47.354031,13.447
10350571,K01175.02,,CANDIDATE,CANDIDATE,0.9970,17.157236000,1.8620000e-04,-1.8620000e-04,133.6895100,8.990000e-03,-8.990000e-03,0.2380,0.2180,-0.2380,11.28400,0.24800,-0.24800,1.1040e+02,5.000e+00,-5.000e+00,1.55,2.400e-01,-3.600e-01,844.0,,,119.87,53.10,-54.09,23.60,1,q1_q17_dr25_tce,5676.00,115.00,-104.00,4.100,0.203,-0.087,1.4870,0.2290,-0.3440,295.920650,47.448608,13.290
11013201,K00972.01,,CANDIDATE,CANDIDATE,0.6320,13.118962443,6.0390000e-06,-6.0390000e-06,261.5394340,3.290000e-04,-3.290000e-04,0.0420,0.2710,-0.0420,4.30450,0.01220,-0.01220,3.7220e+02,1.500e+00,-1.500e+00,8.25,4.500e-01,-2.500e+00,1768.0,,,2310.43,419.83,-1290.11,267.40,1,q1_q17_dr25_tce,7221.00,114.00,-171.00,3.488,0.272,-0.048,4.2400,0.2270,-1.2840,282.000310,48.542221,9.275
11013201,K00972.02,,CANDIDATE,CANDIDATE,0.0000,7.821873280,2.2420000e-05,-2.2420000e-05,123.4990700,2.480000e-03,-2.480000e-03,0.0050,0.3970,-0.0050,3.84170,0.07070,-0.07070,4.2200e+01,1.300e+00,-1.300e+00,2.78,1.500e-01,-8.400e-01,2101.0,,,4601.71,836.19,-2569.52,37.20,2,q1_q17_dr25_tce,7221.00,114.00,-171.00,3.488,0.272,-0.048,4.2400,0.2270,-1.2840,282.000310,48.542221,9.275
9414417,K00974.01,,CANDIDATE,CANDIDATE,0.9990,53.505761100,1.5960000e-04,-1.5960000e-04,172.9830400,2.480000e-03,-2.480000e-03,0.4600,0.0020,-0.4410,10.56160,0.07700,-0.07700,1.9560e+02,3.100e+00,-3.100e+00,2.52,1.600e-01,-1.200e-01,675.0,,,49.16,9.16,-6.52,71.20,1,q1_q17_dr25_tce,6247.00,75.00,-69.00,4.016,0.030,-0.027,1.7620,0.1120,-0.0840,295.802670,45.988079,9.582
6131236,K01051.01,,CANDIDATE,CANDIDATE,1.0000,6.796853530,2.2470000e-05,-2.2470000e-05,138.1132400,2.970000e-03,-2.970000e-03,0.6200,0.3300,-0.3890,3.17020,0.08350,-0.08350,3.9310e+02,1.490e+01,-1.490e+01,2.01,6.200e-01,-2.000e-01,985.0,,,222.91,206.66,-65.90,29.80,1,q1_q17_dr25_tce,6061.00,180.00,-198.00,4.486,0.050,-0.200,0.9700,0.3000,-0.1000,294.163210,41.451801,15.391
2307199,K00151.01,,CANDIDATE,CANDIDATE,0.7520,13.447179100,1.2470000e-05,-1.2470000e-05,132.8305550,7.700000e-04,-7.700000e-04,0.9630,0.0130,-0.0080,3.04540,0.05460,-0.05460,1.4282e+03,2.110e+01,-2.110e+01,5.24,1.640e+00,-7.000e-01,848.0,,,122.34,112.28,-42.14,105.30,1,q1_q17_dr25_tce,6276.00,169.00,-206.00,4.405,0.087,-0.203,1.0410,0.3260,-0.1400,292.374760,37.630959,14.000
